01;Республика Адыгея (Адыгея);40;1422
02;Республика Башкортостан;33;1347
03;Республика Бурятия;42;1118
04;Республика Алтай;41;1216
05;Республика Дагестан;38;1424
06;Республика Ингушетия;38;1434
07;Кабардино-Балкарская Республика;38;1463
08;Республика Калмыкия;40;1553
09;Карачаево-Черкесская Республика;38;1471
10;Республика Карелия;31;1077
11;Республика Коми;31;1041
12;Республика Марий Эл;33;1620
13;Республика Мордовия;33;1556
14;Республика Саха (Якутия);42;1174
15;Республика Северная Осетия - Алания;38;1475
16;Республика Татарстан (Татарстан);33;1624
17;Республика Тыва;41;1169
18;Удмуртская Республика;33;1646
19;Республика Хакасия;41;1187
20;Чеченская Республика;38;1500
21;Чувашская Республика - Чувашия;33;1652
22;Алтайский край;41;1217
23;Краснодарский край;40;1438
24;Красноярский край;41;1146
25;Приморский край;42;1948
26;Ставропольский край;38;1481
27;Хабаровский край;42;1975
28;Амурская область;42;1932
29;Архангельская область;31;1008
30;Астраханская область;40;1505
31;Белгородская область;30;1817
32;Брянская область;30;1828
33;Владимирская область;30;1716
34;Волгоградская область;40;1511
35;Вологодская область;31;1739
36;Воронежская область;30;1844
37;Ивановская область;30;1754
38;Иркутская область;41;1124
39;Калининградская область;31;1020
40;Калужская область;30;1859
41;Камчатский край;42;1943
42;Кемеровская область - Кузбасс;41;1229
43;Кировская область;33;1661
44;Костромская область;30;1771
45;Курганская область;34;1308
46;Курская область;30;1880
47;Ленинградская область;31;145
48;Липецкая область;30;1890
49;Магаданская область;42;1946
50;Московская область;30;2019
51;Мурманская область;31;1061
52;Нижегородская область;33;1679
53;Новгородская область;31;1051
54;Новосибирская область;41;1202
55;Омская область;41;1255
56;Оренбургская область;33;1563
57;Орловская область;30;1898
58;Пензенская область;33;1575
59;Пермский край;33;1317
60;Псковская область;31;1090
61;Ростовская область;40;1530
62;Рязанская область;30;1704
63;Самарская область;33;1586
64;Саратовская область;33;1596
65;Сахалинская область;42;1960
66;Свердловская область;34;1261
67;Смоленская область;30;1103
68;Тамбовская область;30;1905
69;Тверская область;30;1783
70;Томская область;41;1255
71;Тульская область;30;1913
72;Тюменская область;34;1342
73;Ульяновская область;33;1614
74;Челябинская область;34;1384
75;Забайкальский край;42;1192
76;Ярославская область;30;1806
77;Москва;30;1
78;Санкт-Петербург;31;2
79;Еврейская автономная область;42;1941
83;Ненецкий автономный округ;31;1985
86;Ханты-Мансийский автономный округ - Югра;34;1368
87;Чукотский автономный округ;42;1982
89;Ямало-Ненецкий автономный округ;34;1414
91;Республика Крым;40;2114
92;Севастополь;40;2114
